iter	Passed	Remaining
0	134	134211
1	139	69644
2	143	47563
3	146	36455
4	150	29890
5	153	25461
6	157	22319
7	162	20133
8	166	18326
9	170	16916
10	174	15723
11	181	14971
12	185	14092
13	189	13381
14	193	12700
15	196	12085
16	199	11516
17	201	11019
18	204	10574
19	206	10117
20	209	9758
21	210	9371
22	213	9051
23	215	8752
24	217	8471
25	219	8210
26	221	7967
27	223	7745
28	224	7530
29	227	7349
30	229	7162
31	230	6985
32	232	6803
33	234	6664
34	236	6518
35	237	6362
36	239	6236
37	241	6113
38	243	5995
39	245	5884
40	246	5771
41	248	5670
42	250	5575
43	252	5491
44	254	5406
45	256	5322
46	258	5241
47	260	5157
48	262	5085
49	263	5012
50	265	4944
51	267	4876
52	269	4817
53	271	4761
54	274	4709
55	275	4645
56	277	4595
57	279	4543
58	281	4492
59	283	4445
60	285	4389
61	287	4350
62	289	4306
63	291	4264
64	293	4222
65	295	4181
66	297	4140
67	298	4093
68	300	4060
69	302	4017
70	304	3981
71	306	3950
72	308	3920
73	310	3889
74	312	3854
75	314	3825
76	317	3799
77	319	3771
78	321	3745
79	323	3718
80	325	3693
81	327	3667
82	330	3653
83	332	3628
84	335	3609
85	338	3592
86	339	3567
87	341	3542
88	343	3521
89	346	3498
90	347	3475
91	350	3455
92	352	3442
93	354	3419
94	356	3397
95	358	3375
96	360	3358
97	362	3338
98	364	3318
99	366	3299
100	368	3281
101	371	3269
102	373	3252
103	375	3238
104	377	3220
105	379	3197
106	381	3184
107	384	3174
108	386	3158
109	388	3141
110	390	3124
111	391	3107
112	393	3090
113	396	3078
114	399	3071
115	401	3057
116	403	3042
117	405	3027
118	407	3014
119	409	3000
120	411	2989
121	413	2975
122	415	2962
123	417	2949
124	419	2937
125	421	2924
126	423	2911
127	425	2898
128	427	2886
129	430	2879
130	431	2864
131	433	2852
132	435	2840
133	437	2829
134	439	2817
135	441	2805
136	443	2795
137	445	2784
138	448	2777
139	450	2767
140	452	2756
141	454	2744
142	456	2734
143	458	2724
144	460	2714
145	462	2704
146	464	2693
147	466	2683
148	467	2672
149	469	2662
150	471	2652
151	473	2642
152	475	2633
153	477	2623
154	480	2618
155	482	2608
156	484	2599
157	485	2589
158	487	2580
159	489	2570
160	492	2564
161	494	2555
162	496	2550
163	498	2542
164	500	2534
165	503	2527
166	505	2519
167	507	2512
168	509	2505
169	511	2498
170	513	2490
171	515	2481
172	517	2475
173	519	2467
174	522	2462
175	525	2459
176	528	2455
177	530	2447
178	531	2439
179	533	2431
180	535	2424
181	537	2416
182	540	2411
183	542	2404
184	544	2397
185	546	2390
186	547	2380
187	549	2372
188	551	2365
189	553	2358
190	555	2354
191	557	2346
192	559	2339
193	561	2332
194	563	2325
195	565	2318
196	567	2311
197	569	2306
198	572	2302
199	574	2296
200	575	2289
201	577	2282
202	579	2275
203	581	2269
204	583	2262
205	585	2256
206	587	2252
207	589	2245
208	591	2239
209	593	2233
210	595	2226
211	597	2221
212	599	2214
213	601	2209
214	603	2204
215	605	2198
216	606	2189
217	608	2183
218	610	2177
219	612	2171
220	614	2166
221	616	2161
222	619	2158
223	621	2153
224	623	2147
225	625	2142
226	627	2136
227	629	2132
228	631	2126
229	633	2122
230	636	2118
231	638	2112
232	640	2107
233	642	2101
234	644	2096
235	646	2091
236	647	2085
237	650	2082
238	652	2077
239	654	2073
240	657	2069
241	659	2064
242	661	2059
243	662	2053
244	665	2051
245	667	2046
246	669	2042
247	671	2037
248	673	2032
249	675	2025
250	677	2020
251	678	2015
252	681	2011
253	683	2006
254	684	2001
255	686	1996
256	688	1991
257	690	1986
258	692	1981
259	694	1976
260	696	1971
261	698	1966
262	700	1962
263	702	1957
264	704	1953
265	706	1948
266	707	1943
267	709	1938
268	711	1933
269	713	1929
270	715	1924
271	717	1919
272	719	1915
273	720	1909
274	722	1905
275	724	1900
276	726	1895
277	728	1891
278	730	1886
279	731	1882
280	733	1877
281	735	1873
282	737	1868
283	739	1864
284	741	1859
285	743	1855
286	745	1851
287	747	1847
288	749	1843
289	751	1839
290	753	1835
291	755	1830
292	756	1826
293	758	1822
294	761	1819
295	763	1815
296	765	1811
297	767	1807
298	769	1804
299	771	1800
300	773	1796
301	775	1793
302	778	1789
303	780	1786
304	782	1783
305	784	1778
306	786	1775
307	788	1771
308	790	1767
309	792	1763
310	794	1759
311	796	1755
312	798	1752
