iter	Passed	Remaining
0	3	3467
1	5	2868
2	8	2891
3	10	2663
4	12	2556
5	14	2482
6	17	2538
7	20	2556
8	23	2598
9	25	2570
10	28	2549
11	30	2495
12	32	2466
13	36	2540
14	38	2515
15	41	2532
16	43	2510
17	45	2477
18	47	2457
19	51	2530
20	54	2553
21	56	2527
22	58	2504
23	61	2482
24	63	2476
25	66	2503
26	68	2473
27	71	2483
28	73	2467
29	75	2447
30	77	2424
31	82	2488
32	84	2480
33	87	2484
34	89	2469
35	91	2454
36	93	2420
37	94	2404
38	97	2399
39	99	2392
40	101	2381
41	104	2375
42	106	2363
43	108	2349
44	109	2328
45	111	2316
46	114	2324
47	117	2324
48	119	2323
49	121	2316
50	123	2304
51	126	2297
52	129	2311
53	132	2327
54	135	2321
55	137	2311
56	138	2298
57	140	2284
58	143	2284
59	146	2288
60	148	2279
61	150	2274
62	152	2266
63	156	2281
64	158	2279
65	160	2278
66	163	2275
67	165	2267
68	167	2263
69	170	2260
70	172	2252
71	174	2242
72	176	2235
73	178	2234
74	180	2224
75	182	2216
76	184	2208
77	186	2199
78	187	2190
79	189	2180
80	191	2177
81	194	2179
82	195	2165
83	198	2165
84	200	2159
85	203	2160
86	206	2162
87	208	2162
88	211	2160
89	213	2155
90	214	2144
91	216	2138
92	219	2140
93	254	2457
94	257	2452
95	263	2478
96	266	2479
97	268	2473
98	270	2463
99	273	2460
100	277	2470
101	280	2467
102	282	2460
103	284	2454
104	286	2445
105	289	2441
106	292	2444
107	295	2439
108	297	2431
109	299	2423
110	301	2412
111	303	2403
112	304	2390
113	310	2413
114	313	2410
115	319	2431
116	324	2449
117	326	2442
118	328	2433
119	330	2424
120	333	2423
121	336	2422
122	338	2412
123	340	2407
124	342	2399
125	343	2385
126	346	2384
127	348	2376
128	351	2370
129	354	2370
130	356	2366
131	358	2359
132	360	2352
133	362	2345
134	364	2337
135	367	2336
136	370	2335
137	373	2330
138	375	2325
139	377	2317
140	379	2309
141	380	2298
142	383	2298
143	386	2297
144	388	2290
145	390	2284
146	392	2277
147	394	2269
148	395	2260
149	397	2254
150	400	2253
151	403	2251
152	405	2244
153	407	2238
154	409	2231
155	411	2224
156	412	2214
157	416	2217
158	418	2214
159	420	2208
160	423	2205
161	425	2198
162	426	2190
163	428	2185
164	431	2182
165	434	2180
166	436	2175
167	438	2171
168	440	2164
169	441	2157
170	443	2151
171	446	2147
172	449	2146
173	451	2142
174	453	2137
175	455	2132
176	457	2125
177	458	2119
178	461	2118
179	464	2116
180	466	2111
181	468	2106
182	470	2100
183	472	2094
184	473	2087
185	475	2081
186	477	2075
187	480	2073
188	482	2069
189	484	2065
190	486	2059
191	487	2053
192	489	2047
193	491	2041
194	494	2040
195	497	2039
196	499	2035
197	501	2033
198	503	2027
199	505	2021
200	506	2013
201	509	2010
202	511	2009
203	513	2005
204	516	2001
205	518	1997
206	519	1991
207	521	1985
208	523	1980
209	525	1977
210	528	1975
211	530	1972
212	533	1970
213	535	1965
214	537	1961
215	539	1956
216	541	1954
217	544	1951
218	545	1947
219	547	1942
220	549	1937
221	551	1932
222	553	1927
223	554	1922
224	556	1917
225	559	1916
226	561	1912
227	563	1909
228	565	1904
229	567	1898
230	568	1893
231	570	1888
232	573	1887
233	575	1885
234	577	1881
235	580	1878
236	581	1873
237	583	1868
238	585	1864
239	588	1862
240	590	1860
241	592	1857
242	594	1852
243	596	1848
244	598	1843
245	600	1839
246	601	1832
247	603	1829
248	605	1827
249	607	1823
250	608	1816
251	610	1812
252	612	1808
253	614	1803
254	615	1799
255	617	1795
256	619	1791
257	622	1789
258	624	1785
259	626	1782
260	628	1779
261	630	1775
262	632	1771
263	633	1766
264	635	1763
265	637	1759
266	639	1756
267	641	1752
268	643	1749
269	645	1746
270	647	1742
271	649	1738
272	652	1737
273	654	1735
274	656	1731
275	658	1728
276	660	1724
277	662	1721
278	664	1716
279	667	1715
280	670	1715
281	672	1712
282	674	1708
283	676	1705
284	677	1700
285	679	1696
286	682	1695
287	685	1695
288	687	1690
289	689	1687
290	691	1684
291	693	1681
292	695	1677
293	697	1675
294	700	1673
295	702	1670
296	704	1667
297	706	1664
298	708	1660
299	710	1656
300	711	1652
301	713	1650
302	716	1648
303	718	1644
304	720	1641
305	722	1638
306	723	1634
307	725	1629
308	726	1625
309	729	1623
310	732	1622
311	733	1618
312	735	1614
313	737	1611
314	739	1608
315	741	1604
316	742	1600
317	746	1600
318	749	1599
319	751	1596
320	753	1592
321	755	1590
322	756	1586
323	758	1583
324	761	1581
325	764	1580
326	766	1576
327	768	1574
328	770	1570
329	772	1567
330	773	1563
331	777	1563
332	780	1562
333	781	1559
334	783	1556
335	786	1553
336	787	1550
337	789	1546
338	792	1545
339	795	1544
340	797	1540
341	799	1537
342	801	1534
343	803	1531
344	804	1527
345	806	1524
